,x,y,ch2,ch2Dof,probchi2,measurementTimestamp
1032,48.5227371778,-56.3961471409,653.5211105,6.05112139352,0.0,1484760682000
1033,41.0647186704,-63.8715069431,271.088418883,9.68172924582,0.0,1484760691000
1034,45.9728017329,-63.1800019936,745.085131379,6.3142807744,0.0,1484760692000
1035,39.2419660166,-67.5104397546,423.924281015,9.63464275035,0.0,1484760701000
1036,37.2406703812,-71.0630672396,1113.68974567,12.8010315594,0.0,1484760702000
1037,24.0201636173,-65.5418519847,139.659658268,5.58638633073,0.0,1484760711000
1038,31.3523764441,-58.5939696399,111.587993635,13.9484992043,0.0,1484760721000
1039,23.1106238335,-60.7351232789,1052.75808431,7.11323029941,0.0,1484760722000
1040,24.4539698554,-65.4724305235,1075.71452845,9.27340110736,0.0,1484760725000
1041,27.3403016738,-62.4424837786,593.652871712,7.32904779891,0.0,1484760726000
1042,14.6050551793,-68.2914913294,75.8724451234,12.6454075206,2.54241072639e-14,1484760731000
1043,14.2022406645,-69.9653182589,805.661195703,5.96786070891,0.0,1484760732000
1045,10.3494991083,-65.91490442,1161.12973045,8.17696993277,0.0,1484760742000
1046,2.77095148364,-44.3524732046,47.5447113188,4.32224648353,1.7207851486e-06,1484760751000
1047,1.75490085454,-70.6123240913,620.928881763,6.33600899759,0.0,1484760752000
1048,1.7389990413,-73.1553331821,17.2642181362,5.75473937873,0.000623591727364,1484760761000
1049,-3.81668316543,-72.2537727572,716.414404986,6.02028911753,0.0,1484760762000
1050,-11.6047103178,-65.3747567901,649.979591329,5.28438692137,0.0,1484760772000
1051,-15.2163506808,-66.5879386193,28.3475358472,4.04964797817,0.000190180073262,1484760781000
1052,-18.3564658967,-56.6082729686,855.286340305,7.37315810608,0.0,1484760782000
1053,-13.5567985956,-54.3765033669,382.660300609,3.78871584761,0.0,1484760792000
1055,-13.1086160645,-41.9980698458,431.557154904,4.31557154904,0.0,1484760802000
1056,-15.2458213129,-42.4925220146,890.871847725,7.07041148988,0.0,1484760812000
1057,-17.2475204548,-39.2991196341,456.854927348,4.96581442769,0.0,1484760815000
1058,-14.2133553021,-32.264334398,1055.95792898,7.76439653665,0.0,1484760822000
1059,-13.0414423815,-27.4112927399,1164.85274457,7.81780365482,0.0,1484760832000
1060,-14.5703327692,-21.044494645,1208.59430409,7.69805289232,0.0,1484760842000
1061,-11.8456465316,-20.5351274397,717.100489583,5.73680391667,0.0,1484760852000
1062,-12.7263116051,-10.2548862756,406.765938829,3.91121095028,0.0,1484760893000
1063,-10.9343581051,-15.3640521529,144.958847739,3.2945192668,1.05704334175e-12,1484760894000
1064,-11.9562635456,-6.86502493076,110.640815307,3.35275197899,2.58836507783e-10,1484760987000
1065,-13.4190689751,-4.96863125673,39.1708539127,2.79791813662,0.000343206247549,1484760988000
1066,-12.6007912255,-11.0795328437,96.6880656355,2.68577960099,1.85597646363e-07,1484761020000
1067,-14.030845394,-6.41717960867,22.250215906,11.125107953,1.47376081604e-05,1484761021000
1068,-11.0620417224,-6.03453340445,93.484725603,2.07743834673,2.99613537382e-05,1484761228000
1070,-23.4989359553,-1.04177430227,14.8444468198,0.674747582719,0.868826606406,1484761581000
1071,2.40410174707,-19.0344319,12.5126570926,1.25126570926,0.252209474043,1484761883000
1072,-18.3375450009,-13.83535335,236.244157578,3.3273825011,0.0,1484762185000
1073,-18.7487514471,-11.4157972107,291.879595826,3.99835062776,0.0,1484762306000
1074,-19.7233624024,-15.7686533003,203.348236815,3.91054301568,0.0,1484762428000
1075,-11.7484545665,-11.4892774875,472.619101583,5.31032698408,0.0,1484762760000
1076,-16.648169318,-14.2379647255,413.43127612,7.51693229309,0.0,1484763062000
1077,-5.76418315203,-8.57376858109,302.193570377,3.18098495134,0.0,1484763208000
1078,-6.20712213557,-4.61315964202,145.567448114,2.05024574809,4.56793974646e-07,1484763444000
1079,-4.03451098444,-13.4055335799,493.255755943,5.80300889344,0.0,1484763567000
1080,1.68452416923,-2.96559708707,880.603555605,7.21806193119,0.0,1484763698000
1081,-0.854953807943,-10.8713285741,570.837448291,8.03996406044,0.0,1484763765000
1082,3.71185179499,-1.9388423512,880.749792262,6.52407253528,0.0,1484763766000
1083,6.02541094507,-2.14884957284,743.211747415,5.34684710371,0.0,1484763831000
1084,6.48350635709,-4.78908769274,836.353815308,5.26008688873,0.0,1484763836000
1085,4.65934444301,-5.15073632176,835.710080634,5.03439807611,0.0,1484763838000
1086,10.1125547463,-2.66968793886,942.06382525,6.40859745068,0.0,1484763841000
1087,6.06089572249,-0.116496243879,944.022853572,5.9372506514,0.0,1484763849000
1088,5.79089162586,0.468121211495,677.720464999,6.98680891751,0.0,1484763856000
1089,9.0531318101,2.68634563514,777.307456735,6.53199543475,0.0,1484763859000
1090,16.6900289951,13.2507297407,1505.17489379,8.45603872918,0.0,1484763874000
1091,25.4524910582,10.2045996239,307.816747934,3.20642445765,0.0,1484763877000
1092,26.2987498804,12.8372533323,315.650277495,2.74478502169,0.0,1484763884000
1093,29.5284189717,16.6963981333,1215.19523087,8.80576254255,0.0,1484763894000
1094,26.903388329,17.1966320256,733.298438218,6.9837946497,0.0,1484763904000
1095,32.4177594518,16.7020790206,1119.22965548,9.48499708031,0.0,1484763910000
1096,41.143097893,15.6330553282,1411.099926,9.47046930201,0.0,1484763914000
1097,42.4365696261,16.4346637323,1216.36170466,8.10907803107,0.0,1484763924000
1098,47.1250653262,13.2274490403,1014.4146192,6.50265781536,0.0,1484763934000
1099,45.0374740281,3.08871595426,983.471511469,7.62381016643,0.0,1484763944000
1100,47.0423081325,-5.34367212013,629.850711551,5.62366706742,0.0,1484763954000
1101,43.2048789789,-13.9421216574,462.379363325,3.66967748671,0.0,1484763964000
1102,41.2238163031,-15.6500317447,639.709842377,5.33091535314,0.0,1484763970000
1103,37.7659873082,-16.2612119068,482.368160042,3.30389150714,0.0,1484763974000
1104,34.1684388678,-21.6688217964,709.183773211,5.37260434251,0.0,1484763984000
1105,34.4133431359,-16.3573436473,681.188131682,5.12171527581,0.0,1484763988000
1106,33.1800737224,-18.827711957,527.256289897,3.31607729495,0.0,1484763989000
1107,37.6734183798,-13.1101252439,428.164973007,3.50954895907,0.0,1484763991000
1108,28.7647090635,-5.04354915143,1070.16034054,6.40814575176,0.0,1484763999000
1109,29.3627255952,-6.06251138208,1045.2800655,6.00735669828,0.0,1484764009000
1110,28.4398959922,-2.94649916533,72.959813713,5.61229336254,2.27883933945e-10,1484764011000
1111,30.6385296378,-5.52552531513,1558.96309946,9.11674327168,0.0,1484764012000
1112,24.2175150627,-3.37799007268,557.036262347,4.31811056083,0.0,1484764019000
1113,24.7291518122,-5.46692685181,73.4182333387,2.22479494966,6.63199039266e-05,1484764021000
1114,24.6274743708,-4.3539114624,294.227182855,3.77214336994,0.0,1484764022000
1115,22.3821819955,-10.8227576037,13.2839253548,1.10699377957,0.348746023647,1484764031000
1116,26.1847529787,-6.03382049694,192.876890345,4.59230691298,0.0,1484764032000
1117,24.0985535869,-8.51749969405,1321.43103712,5.69582343586,0.0,1484764039000
1118,24.9496609903,-7.35201670846,739.128405615,4.5345300958,0.0,1484764041000
1119,18.9324478795,-16.7320457399,536.649863526,4.16007646144,0.0,1484764049000
1120,18.3698690473,-15.7865434695,927.941515407,5.36382378848,0.0,1484764059000
1121,16.6785556142,-15.8717363316,712.146416882,4.81180011406,0.0,1484764061000
1122,8.44626978946,-13.6909954805,928.694252084,5.4629073652,0.0,1484764069000
1123,0.677190959115,-18.0254750628,1304.61821057,8.69745473715,0.0,1484764079000
1124,6.16052336646,-27.874972035,633.749807285,5.55920883583,0.0,1484764089000
1125,6.0602135095,-31.0630172347,860.38295337,5.27842302681,0.0,1484764099000
1126,4.85045649444,-45.1931215501,920.648014479,4.4261923773,0.0,1484764107000
1127,4.18517626898,-43.6795176862,323.698300342,3.02521776021,0.0,1484764110000
1128,5.08189512218,-42.9033119383,954.190639334,5.45251793905,0.0,1484764119000
1129,6.68641066722,-39.5999061494,856.65442778,5.32083495515,0.0,1484764129000
1130,19.1676128105,-41.5064789017,855.414732702,5.62772850462,0.0,1484764139000
1131,21.6260327114,-30.9875013438,502.346478518,3.06308828365,0.0,1484764149000
1132,25.5725491431,-26.6283737967,777.155036453,4.20083803488,0.0,1484764159000
1133,31.6644733605,-31.4039583376,788.546920503,4.95941459436,0.0,1484764169000
1134,35.755826907,-43.9176194419,1521.65611894,8.95091834673,0.0,1484764179000
1135,39.2814260304,-37.7612502775,1054.34802647,8.11036943436,0.0,1484764189000
1136,43.5649933721,-38.8131185328,1219.38257025,9.60143756099,0.0,1484764199000
1137,48.6454974364,-35.4253107256,1117.23774857,6.31207767552,0.0,1484764209000
1138,49.1125520804,-44.5451180905,1277.33953054,8.18807391375,0.0,1484764219000
1139,50.7096427805,-55.4658828449,1502.85028173,9.6958082692,0.0,1484764229000
1140,46.2364679803,-56.2215955977,940.691837736,9.79887330975,0.0,1484764232000
1141,45.8661176491,-60.0516470619,757.272047622,5.52753319432,0.0,1484764239000
1142,43.2546554129,-65.3965136332,751.373336777,6.59099418225,0.0,1484764244000
1143,44.3554035774,-67.628701294,1030.88398552,7.92987681166,0.0,1484764246000
1144,38.9322238552,-65.715315453,771.76184544,10.71891452,0.0,1484764252000
1145,33.9554330396,-67.754739161,489.372929833,5.20609499822,0.0,1484764256000
1146,34.6713525237,-58.7200978532,1169.91842857,10.1732037267,0.0,1484764266000
1147,26.7391761907,-59.0430482771,990.466508851,6.39010650871,0.0,1484764272000
1148,23.3096294539,-62.5007577174,1124.47350186,7.25466775394,0.0,1484764276000
1149,9.7488560362,-60.5179590645,1158.19744416,8.51615767767,0.0,1484764286000
1150,8.06037577254,-59.3730078454,523.020987299,6.97361316399,0.0,1484764294000
1151,7.71082456085,-56.3650337986,813.7843995,6.7815366625,0.0,1484764297000
1152,7.79952969813,-62.8038235922,544.425239091,5.55535958257,0.0,1484764300000
1153,9.31400435891,-67.3418744596,976.186558363,8.95583998498,0.0,1484764307000
1154,5.57016171353,-69.8798994303,148.714434766,4.24898385046,5.55111512313e-16,1484764308000
1155,-1.09292899014,-69.9212556968,48.8287337244,1.52589792889,0.0288105947853,1484764318000
1156,-5.55694855128,-65.9752092876,887.877801859,6.62595374522,0.0,1484764320000
1157,-9.21773211266,-67.4949559347,486.528473405,6.31855160267,0.0,1484764327000
1158,-6.12256021926,-66.7237044024,505.265846755,8.14944914121,0.0,1484764328000
1159,-10.9814757151,-58.9512146299,596.751937179,9.32424901843,0.0,1484764337000
1160,-19.2875816254,-55.7198514265,374.141515158,9.84582934626,0.0,1484764338000
1161,-6.89926794079,-56.5404236408,132.775166365,6.98816665079,0.0,1484764347000
1162,-13.7897828204,-55.3795406781,336.414251095,4.6724201541,0.0,1484764348000
1163,-8.57257137847,-55.522845314,264.830754057,4.56604748373,0.0,1484764357000
1164,-13.6267836178,-53.774957187,304.962949823,4.17757465511,0.0,1484764358000
1165,-8.69871467753,-50.4053442515,490.31337406,3.86073522882,0.0,1484764360000
1166,-11.2480705039,-41.8606287481,336.799219734,5.90875824094,0.0,1484764367000
1167,-10.0003383135,-42.9667714286,333.743955392,3.79254494764,0.0,1484764368000
1168,-15.8925243531,-38.7323592045,174.993811439,4.06962352183,0.0,1484764377000
1169,-16.1416717842,-43.2562956518,314.999910503,4.43661845779,0.0,1484764378000
1170,-18.6802988518,-29.7364184269,137.391087951,9.81364913939,0.0,1484764387000
1171,-19.226783767,-34.9097000033,492.126372436,6.47534700574,0.0,1484764388000
1172,-14.5144832663,-29.0707073557,101.74694252,4.62486102365,3.18922666054e-12,1484764397000
1173,-14.8408398591,-31.2439599315,779.025559695,6.38545540733,0.0,1484764398000
1174,-13.095813782,-31.7559664637,264.566991328,5.51181231934,0.0,1484764407000
1175,-14.1735048699,-28.6062379455,592.717544169,6.17414108509,0.0,1484764408000
1177,-12.1335018453,-20.5726300167,1294.2045317,8.3497066561,0.0,1484764418000
1178,-5.8661321903,-25.3845720557,185.719332919,23.2149166148,0.0,1484764427000
1179,-14.9427584834,-20.6507584006,812.005680733,10.5455283212,0.0,1484764428000
1180,-17.4419234826,-22.6499417299,596.071596752,6.77354087219,0.0,1484764438000
1181,-8.35588928841,-19.925791171,1002.4676608,6.81950789658,0.0,1484764448000
1182,-6.08687340068,-13.8152105203,328.300863795,6.83960132906,0.0,1484764566000
1183,-10.6528804206,-20.9096764815,470.739996597,3.82715444388,0.0,1484764569000
1184,-9.60032857338,-17.6889421085,862.439632278,6.43611665879,0.0,1484764576000
1185,-2.17479129198,-12.6976518209,1136.08301539,7.10051884622,0.0,1484764586000
1186,-3.10926221794,-13.2688176984,930.756825019,7.62915430343,0.0,1484764589000
1187,-3.7436571506,-10.5444303089,585.89582984,6.10308156083,0.0,1484764596000
1188,2.45838838799,-5.46743078666,1105.65501889,7.89753584924,0.0,1484764606000
1189,8.55925821097,6.24582295518,565.396499168,4.18812221606,0.0,1484764616000
1190,19.1388873144,10.1079726523,541.446368833,4.07102532957,0.0,1484764626000
1191,26.5500384607,10.1463793077,2084.41828043,13.9893844324,0.0,1484764636000
1192,29.261723961,17.4366492056,1421.53002453,10.452426651,0.0,1484764646000
1193,31.1307399236,16.9020083227,842.400574875,6.24000425833,0.0,1484764649000
